UID,Client,Responsible Officer,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
6416,Stockport Council,Liam Gilmore,271440-Information Communication Technology : Software : ,Bin identification technology ,RBS - Low - Quick Quote,Contract,01/05/2019,24,24,30/04/2021,,30/04/2021,,"Â£8,000.00","Â£8,000.00",C-Trace,SME,7240591,B90 8BG,Stockport- Services to Place
6417,Stockport Council,Phil Stephens,271440-Information Communication Technology : Software : ,Online DBS application submission service,RBS - Low - Quick Quote,Contract,11/04/2019,24,24,10/04/2021,,10/04/2021,01/01/2021,"Â£8,500.00","Â£17,000.00",Cantium Business Solutions Ltd,SME,11242115,ME14 1XQ ,Stockport- Corporate & Support Services
6418,Stockport Council,Liam Gilmore,271440-Information Communication Technology : Software : ,Child View Youth Justice system,Exemption,Contract,01/04/2019,36,36,31/03/2023,No,,,"Â£11,881.00","Â£47,524.00",CACI,Large ,1649776,W14 8TS,Stockport- Corporate & Support Services
6420,Stockport Council,Liam Gilmore,271440-Information Communication Technology : Software : ,Cyber Media Solutions - Theseus contract,Exemption,Contract,01/04/2019,24,24,31/03/2021,No,,,"Â£12,000.00","Â£24,000.00",Cyber Media Solutions Ltd,SME,3858761,ST 18 0LQ,Stockport- Corporate & Support Services
6423,Stockport Council,Michael Halsall,271200-Information Communication Technology : Hardware : ,District Wifi Provision,RBS - Low/Med - Simple (RFQ),Contract,01/06/2019,33,33,31/03/2022,no,31/03/2022,01/01/2022,"Â£43,000.00","Â£43,000.00",Elephant Wifi,SME,9307093,LE10 1UE,Stockport- Corporate & Support Services
6426,Stockport Council,Natalie McCarthy,271440-Information Communication Technology : Software : ,Council C-Series Upgrade,Exemption,Contract,27/03/2019,36,36,26/03/2022,,26/03/2022,01/03/2021,"Â£12,648.21","Â£37,944.63",Bottomline Technologies,Large ,8098450,RG1 7JX,Stockport- Corporate & Support Services
6473,Stockport Council,Carla Cooke,410000Â  Social Community Care Supplies & Services,Provision for Physiotherapy Services,RBS - Low/Med - Simple (RFQ),Contract,01/10/2019,24,36,30/09/2021,-,30/09/2022,01/04/2021,"Â£46,000.00","Â£138,000.00", Physio.co.uk ,SME,Partnership,M3 4DN,Stockport- Corporate & Support Services
6493,Stockport Council,Phil Stephens,271440-Information Communication Technology : Software : ,Gully Management System,Call Off (External),Contract,01/07/2019,24,24,30/06/2021,,30/06/2021,01/01/2021,"Â£12,060.00","Â£24,120.00",Kaarbon Technology Ltd,SME,8304632,BH22 8LR,Stockport- Corporate & Support Services
6496,Stockport Council,Phil Stephens,271300-Information Communication Technology : Services : Maintenance & Support,Annual Support & Maintenance for Pitney Bowes Confirm Solution,Exemption,Contract,05/06/2019,24,24,04/06/2021,No,04/06/2021,31/01/2020,"Â£82,459.84","Â£168,218.07",Pitney Bowes Software Europe Ltd,Medium,1977325,AL10 9UJ,gill.lawton@stockport.gov.uk
6513,Stockport Council,Phil Stephens,270000Â  Information Communication Technology,ChildrenÂs Sector Led Improvement Portal,RBS - Low/Med - Simple (RFQ),Contract,16/03/2020,12,12,15/03/2021,No,,,"Â£43,776.00","Â£43,776.00",Big Blue Door Ltd,SME,7958927,"SL1 7HZ
",Stockport- Services to People
7926,Stockport Council,Catherine Judge,321100Â  Social Community Care Supplies & Services - Children,Stockport Steps to Work,RFQ,Contract,06/01/2020,20,20,30/09/2021,No,30/09/2021,30/06/2021,"Â£37,500.00","Â£37,500.00",-,-,-,-,Tameside - Childrens and Adults
7942,Stockport Council,Rachael Tither,321000Â  Social Community Care Supplies & Services - Adult,Carers Assessment Pilot,Exemption,Contract,01/01/2020,12,12,31/12/2020,No,31/12/2020,30/06/2020,"Â£80,000.00","Â£80,000.00",Stockport Signpost for Carers,SME,4176004,SK43LD,Stockport- Services to People
8015,Stockport Council,Daniel Hart,270000Â  Information Communication Technology,School Budget Planning Software,Call Off (External),Contract,15/02/2020,24,48,14/02/2022,No,14/02/2024,01/10/2023,"Â£43,250.00","Â£173,000.00",Access UK Limited,SME,2343760,EC3N 1RE,Stockport- Services to People
8039,Stockport Council,Daniel Hart,270000Â  Information Communication Technology,Coroner's Case Management System,Call Off (External),Contract,30/07/2019,48,48,31/07/2023,No,31/07/2023,31/07/2022,"Â£6,375.00","Â£62,200.00",Civica UK Ltd,Large ,1628868,SE1 9LQ,Stockport- Services to People
8051,Stockport Council,Daniel Hart,270000Â  Information Communication Technology,Contract Management Solution,Call Off (External),Contract,08/11/2019,24,48,07/11/2021,No,07/11/2023,07/05/2021,"Â£1,795.00","Â£17,560.00",In-tend Ltd,SME,5845701,S60 1DX,Stockport- Corporate & Support Services
8053,Stockport Council,Natalie McCarthy,109999-Building Construction Materials : Not Elsewhere Classified : ,Topographical Surveying Framework for use by the CouncilÂs in-house Survey Team to assist in the delivery of a range of capital projects,RBS - Med/High - Advanced (Open),Framework Agreement,01/08/2019,12,24,31/07/2021,Yes,31/07/2021,01/02/2021,"Â£75,000.00","Â£150,000.00",Malcolm Hughes Land Surveyors Ltd,SME,1319080,M33 7HF,Stockport- Services to Place
8054,Stockport Council,Natalie McCarthy,109999-Building Construction Materials : Not Elsewhere Classified : ,Topographical Surveying Framework for use by the CouncilÂs in-house Survey Team to assist in the delivery of a range of capital projects,RBS - Med/High - Advanced (Open),Framework Agreement,01/08/2019,12,24,31/07/2021,Yes,31/07/2021,01/02/2021,"Â£75,000.00","Â£150,000.00",Survey Engineering Project Ltd,SME,5037569,WN8 8EF,Stockport- Services to Place
8107,Stockport Council,Natalie McCarthy,270000Â  Information Communication Technology,HR & Payroll Solution,Call Off (External),Contract,31/03/2020,24,48,31/03/2022,No,31/03/2024,31/03/2021,"Â£148,000.00","Â£703,352.56",MHR International UK Limited,Large ,1852206,NN4 7HB,Stockport- Corporate & Support Services
8112,Stockport Council,Natalie McCarthy,270000Â  Information Communication Technology,"System for Planning Building Control, Land Charges and Regulatory Services",Call Off (External),Contract,01/04/2020,36,36,31/03/2023,-,,01/04/2022,"Â£30,000.00","Â£90,000.00",Idox Software Ltd,Large ,2933889,RG7 4SA,Stockport- Corporate & Support Services
8342,Stockport Council,Phil Stephens,270000Â  Information Communication Technology,Asset Management System,Call Off (External),Contract,20/09/2019,24,48,19/09/2021,No,19/09/2023,19/09/2020,"Â£91,020.00","Â£391,462.00",Pitney Bowes,Large ,1977325,AL10 9U,Stockport- Services to Place
8354,Stockport Council,Liam Gilmore,270000Â  Information Communication Technology,Smoothwall Load balancer and Support,RBS - Low - Quick Quote,Contract,20/03/2020,12,12,20/03/2021,-,,,"Â£19,600.00","Â£19,600.00",Smoothwall Ltd,SME,4298247,LS10 1AB,Stockport- Corporate & Support Services
8374,Stockport Council,Natalie McCarthy,270000Â  Information Communication Technology,Wide Area Networks,Call Off (External),Contract,01/12/2019,24,24,30/11/2021,-,30/11/2021,15/01/2021,"Â£465,708.00","Â£908,130.60",Virgin Media Limited,Large ,2591237,RG2 6UU,Stockport- Corporate & Support Services
8383,Stockport Council,Gary Lee,150000Â  Consultancy,Adswood Primary School Additional Music Room and Store Room,RBS - Low - Quick Quote,Contract,30/09/2019,12,12,23/12/2020,-,23/12/2020,04/05/2020,"Â£19,930.00","19,930",SDA Consulting LLP,Large ,OC336039,M3 7BE ,Stockport- Services to Place
8387,Stockport Council,Gary Lee,150000Â  Consultancy,Roof Design Services for Stockport Town Hall,Mini Competition (External),Contract,01/11/2019,18,18,01/05/2021,-,01/05/2021,,"Â£75,000.00","Â£1,112,500.00",-,-,-,-,Stockport- Services to Place
8403,Stockport Council,Phil Stephens,270000Â  Information Communication Technology,HB overpayment recovery,Call Off (External),Concession,01/10/2019,12,36,30/09/2020,No,30/09/2022,01/07/2020,"Â£107,000.00","Â£322,000.00",Civica UK Limited,Large ,1628868,SE1 9LQ,Stockport- Corporate & Support Services
8447,Stockport Council,Liam Gilmore,150000Â  Consultancy,Strategic Leisure Procurement Support,RBS - Low/Med - Simple (RFQ),Contract,01/02/2020,24,24,31/03/2022,No,,,"Â£19,504.00","Â£39,009.00","The Sport, Leisure and Culture Consultancy",SME,6945670,RH16 1BY,Stockport- Services to People
8467,Stockport Council,Daniel Hart,270000Â  Information Communication Technology,Supply of additional Nutanix resources,Call Off (External),Framework Agreement,31/12/2019,60,60,30/12/2024,No,,01/06/2024,Â£0.00,"Â£93,000.00",Softcat Plc,Large ,2174990,SL7 1LW ,Stockport- Corporate & Support Services
8511,Stockport Council,Liam Gilmore,270000Â  Information Communication Technology,Scanners for Mail and Scanning,RBS - Low - Quick Quote,Contract,24/02/2020,36,36,23/02/2023,No,,01/10/2022,Â£0.00,"Â£12,600.00",Embrace Digital,SME,10965478,WA4 6HL,Stockport- Corporate & Support Services
8512,Stockport Council,Liam Gilmore,270000Â  Information Communication Technology,Scanners for Mail and Scanning,RBS - Low - Quick Quote,Contract,24/02/2020,36,36,23/02/2023,No,,01/10/2022,Â£0.00,"Â£7,120.00",The Document Management Group,SME,5210023,PR7 7ND,Stockport- Corporate & Support Services
8539,Stockport Council,Samantha Power,270000Â  Information Communication Technology,Online Community Support,Exemption,Contract,01/04/2020,12,12,31/03/2021,No,,,"Â£57,962.50","Â£57,962.50",Big White Wall Limited,SME,6227377,EC4Y 8BQ,Stockport- Services to People
8544,Stockport Council,Liam Gilmore,321100Â  Social Community Care Supplies & Services - Children,Digital Marketing Campaign Â Fostering Service,RBS - Low - Quick Quote,Contract,01/04/2020,6,6,30/09/2020,-,,-,"Â£9,300.00","Â£9,300.00",Newsquest,SME,1676637,HP10 9TY,Stockport- Services to People
8548,Stockport Council,Liam Gilmore,270000Â  Information Communication Technology,Social Media Management System,RBS - Low - Quick Quote,Contract,01/06/2020,12,12,31/05/2021,-,,,"Â£10,000.00","Â£10,000.00",SocialSignIn Ltd (Orlo),SME,8237170,B5 4AU,Stockport- Corporate & Support Services
8551,Stockport Council,Samantha Power,270000Â  Information Communication Technology,Supply of Schools back up system ,Call Off (External),Framework Agreement,01/04/2020,36,36,31/03/2023,No,31/03/2023,01/12/2022,"Â£15,834.00","Â£47,500.00",XMA Limited,Large ,2051703,NG11 7EP,Stockport- Corporate & Support Services
8553,Stockport Council,Natalie McCarthy,150000Â  Consultancy,Interim Senior Service Manager Learning Disability Provider Service,RBS - Low - Quick Quote,Contract,30/03/2020,6,6,30/09/2020,-,,,"Â£71,500.00","Â£71,500.00",Baltimore Consulting Ltd,SME,8387222,BS1 4PH,Stockport- Services to People
8628,Stockport Council,Liam Gilmore,200000Â  Financial Services,Listed Building Insurance Valuations ,RBS - Low - Quick Quote,Contract,01/07/2020,3,3,01/10/2020,-,,,"Â£25,000.00","Â£25,000.00",Jacobs UK Limited,SME,2594504,M15 4GU,Stockport- Corporate & Support Services
8643,Stockport Council,Natalie McCarthy,190000Â  Facilities & Management Services,Agency Contracts for additional AMHP capacity,RBS - Low/Med - Simple (RFQ),Contract,20/07/2020,3,3,23/10/2020,No,,,"Â£31,218.75","Â£31,218.75",Baltimore Consulting Ltd,SME,8387222,BS1 4PH ,Stockport- Services to People
8663,Stockport Council,Liam Gilmore,270000Â  Information Communication Technology,Parking Contravention Software,Exemption,Contract,01/08/2020,12,12,31/07/2023,-,31/07/2023,,"Â£15,713.00","Â£47,139.00",Barbour Logic Limited,SME,5098036,BN43 5HZ,Stockport- Services to Place
8678,Stockport Council,Liam Gilmore,270000Â  Information Communication Technology,Ivanti Security Controls Patch for Server Subscription 1 Yr,RBS - Low - Quick Quote,Contract,06/07/2020,12,12,05/07/2021,-,05/07/2021,,"Â£11,495.40","Â£11,495.40",Ivanti UK Limited ,SME,5084379,EC4A 3TW,Stockport- Corporate & Support Services
8697,Stockport Council,Gary Lee,260000Â  Human Resources,Head of Service Recruitment,RBS - Low - Quick Quote,Contract,04/09/2020,3,3,30/11/2020,-,,,"Â£15,000.00","Â£15,000.00",PSD,SME,Not obtained,Not obtained,Stockport- Services to Place
9053,Stockport Council,Lewis Sinkala,"390000Â  Works - Construction, Repair & Maintenance",Etchels Primary Â Rewire and Boiler Replacement,Mini Competition (Internal),Contract,16/09/2019,12,12,30/09/2020,No,30/09/2020,20/08/2020, Â£382.070.39 , Â£382.070.39 ,Copeland Group Limited,SME,1176225,OL7 0NZ,Stockport- Corporate & Support Services
9067,Stockport Council,Susan Hindle,370000Â  Utilities,Supply of Electricity Half Hourley,Call Off (External),Contract,01/09/2019,36,36,30/08/2022,No,30/08/2022,30/08/2021,"Â£1,678,000.00","Â£5,034,000.00",Npower,Large,3652377,SN5 6BP,Stockport- Corporate & Support Services
9068,Stockport Council,Susan Hindle,370000Â  Utilities,Supply of Electricity Non Half Hourley,Call Off (External),Contract,01/09/2019,36,36,30/08/2022,No,30/08/2022,30/08/2021,"Â£610,000.00","Â£1,830,000.00",TG&Power,Large,2172239,E14 5BF,Stockport- Corporate & Support Services
9069,Stockport Council,Susan Hindle,370000Â  Utilities,Supply of Gas,Call Off (External),Contract,01/10/2019,36,36,30/09/2022,No,30/09/2022,30/09/2021,"Â£833,000.00","Â£2,499,000.00",Gazprom,Large,3904624,NW1 3BF,Stockport- Corporate & Support Services
9120,Stockport Council,Lewis Sinkala,150000Â  Consultancy,Building Surveying Design Services for Gatley Hill House,Mini Competition (External),Contract,30/01/2020,14,14,30/04/2021,No,30/04/2021,,"Â£18,760.00","Â£18,760.00",Rider Levett Bucknall UK Ltd.,Large,4653580,B3 2BH,Stockport- Corporate & Support Services
9121,Stockport Council,Lewis Sinkala,150000Â  Consultancy,Mechanical & Electrical Design Services for Gatley Hill House,Mini Competition (External),Contract,30/01/2020,14,14,30/04/2021,No,30/04/2021,,"Â£15,895.00","Â£15,895.00",ECS Consultats Ltd,SME,4556533,SK8 2DP,Stockport- Corporate & Support Services
9122,Stockport Council,Lewis Sinkala,150000Â  Consultancy,Hazel Grove and Cheadle Primary External Works - Building Surveying Consultancy,Mini Competition (External),Contract,30/01/2020,14,14,30/04/2021,No,30/04/2021,,"Â£26,780.00","Â£26,780.00",David Trowler Associates,SME,GBML521629,CH45 3LQ,Stockport- Corporate & Support Services
9146,Stockport Council,Catherine Judge,"390000Â  Works - Construction, Repair & Maintenance",Avondale Life Leisure Â Replacement passenger Lift,RBS - Low - Quick Quote,Contract,01/07/2020,4,4,31/10/2020,No,31/10/2020,,"Â£78,000.00","Â£78,000.00",ANSA Elevators,SME,3785224,OL9 9XA,Stockport- Corporate & Support Services
9148,Stockport Council,Mike Fanning,"390000Â  Works - Construction, Repair & Maintenance",Stockport School Condition Works,Mini Competition (External),Contract,01/04/2020,29,29,01/09/2022,No,30/09/2022,,"Â£320,940.49","Â£320,940.49",Conlon Construction,SME,708997,PR5 6BE,Stockport- Services to Place
9153,Stockport Council,Catherine Judge,"390000Â  Works - Construction, Repair & Maintenance",Castle Hill High School Expansion Works,Call Off (External),Contract,24/07/2020,9,9,30/04/2021,No,30/04/2021,,"Â£250,000.00","Â£250,000.00",J Greenwood Builders  (Ltd),SME,1017470,M24 1SW,Stockport- Services to Place
9157,Stockport Council,Catherine Judge,"390000Â  Works - Construction, Repair & Maintenance",Produce Hall FaÃ§ade Repairs,RBS - Low/Med - Simple (RFQ),Contract,01/09/2020,4,4,31/12/2020,No,31/12/2020,,"Â£100,000.00","Â£100,000.00",Maysand Ltd,SME,2912226,OL2 6HT,Stockport- Services to Place
9158,Stockport Council,Catherine Judge,"390000Â  Works - Construction, Repair & Maintenance",Stopford House Â 4no Lift Control Replacements,RBS - Low/Med - Simple (RFQ),Contract,01/09/2020,7,7,01/04/2021,No,01/04/2020,,"Â£410,584.00","Â£410,584.00",ANSA Elevators Ltd,SME,3785224,OL9 9XA,Stockport- Services to Place
9181,Stockport Council,Catherine Judge,150000Â  Consultancy,Lisburne SEND - Architect led Multi-Disciplinary Design services ,OJEU Tender,Contract,12/05/2020,12,12,11/05/2021,No,11/05/2021,,"Â£748,591.16","Â£748,591.16",Atkins,Large,688424,KT18 5BW,Stockport- Services to Place
9182,Stockport Council,Catherine Judge,150000Â  Consultancy,"Lisburne SEND - Project Manager, Quantity Surveyor and Employers Agent Services",OJEU Tender,Contract,12/05/2020,27,27,31/08/2022,No,31/08/2022,,"Â£60,586.00","Â£136,320.00",Rider Levett Bucknall UK Ltd.,Large,4653580,B3 2BH,Stockport- Services to Place
9183,Stockport Council,Catherine Judge,150000Â  Consultancy,"Planning Consultant Services for the the delivery of the new build Lisburne SEND Primary School at the Wood Bank Building, Offerton School site, Stockport SK2 5DS",RBS - Low - Quick Quote,Contract,17/03/2020,24,24,16/03/2022,No,16/03/2022,,"Â£12,249.00","Â£24,999.00",Broadgrove Planning and Development Ltd,SME,1479803,SK8 5FE,Stockport- Corporate & Support Services
10030,Stockport Council,Rachael Tither,321000Â  Social Community Care Supplies & Services - Adult,Statutory Advocacy Services,OJEU Tender,Contract,01/04/2020,60,60,31/03/2023,No,31/03/2024,30/09/2022,"Â£280,000.00","Â£1,400,000.00",Stockport Total Advocacy Trust,SME,CBS 7459,SK1 3DL,Stockport- Services to People
10035,Stockport Council,Justina Woo-Swirad,310000Â  Healthcare,HIV Self-Sampling Service (Public Health England),Procured by Other,Framework Agreement,01/10/2019,30,30,31/03/2022,No,31/03/2022,01/10/2021,"Â£8,703.00","Â£21,757.50",SH:24 CIC,Various,8737119,SE1 7JB,Stockport- Services to People
10128,Stockport Council,Justina Woo-Swirad,410000Â  Social Community Care Supplies & Services,Provision of a target hardening measures for Stockport Council,Local Services,Contract,01/04/2020,12,12,31/03/2021,No,31/03/2021,01/12/2020,"Â£5,000.00","Â£5,000.00",Fast Entry Lock Smiths Ltd,SME,3953974,PR77JN,Stockport- Services to People
