LocationDesc,HealthTopic,PolicyTopic,Title,Status,GeoLocation,DisplayOrder,PolicyTypeID
Connecticut,Nutrition,Medical Care,Biking and Walking Improvements,Dead,"(41.56266102, -72.649840952)",16,LEG
Texas,Obesity,Appropriations,Facilities Environmental Quality Permit Applications,Dead,"(31.827240407, -99.426770206)",28,LEG
Hawaii,Obesity,Food Restrictions,Taro Security,Enacted,"(21.304850435, -157.857749403)",35,LEG
Vermont,Nutrition,Agriculture and Farming,Farmers Markets,Enacted,"(43.625381239, -72.517640791)",10,LEG
Massachusetts,Physical Activity,Physical Activity Requirements,Environmental and Health Impact Reports,Dead,"(42.27687047, -72.082690675)",60,LEG
Virginia,Nutrition,Food Assistance Programs,Budget Bill,Enacted,"(37.542680674, -78.457890463)",3,LEG
Hawaii,Nutrition,Farm Direct Foods,"Kalo, Taro Farms, School Meals",Dead,"(21.304850435, -157.857749403)",8,LEG
Texas,Obesity,Food Restrictions,Regulation of Food Sold at Farmers Markets.,Dead,"(31.827240407, -99.426770206)",35,LEG
New Jersey,Physical Activity,Pedestrians/Walking,Smart Housing Incentives Act,Dead,"(40.130570048, -74.273691288)",69,LEG
Hawaii,Obesity,Body Mass Index (BMI),Affordable Housing,Dead,"(21.304850435, -157.857749403)",29,LEG
New York,Nutrition,Disparities/Equity,New York State Farm Grown Products,Dead,"(42.827001032, -75.543970427)",7,LEG
New Jersey,Obesity,Appropriations,Failure to Yield To Pedestrian Penalty,Dead,"(40.130570048, -74.273691288)",28,LEG
New Mexico,Obesity,Food Restrictions,Commerce and Economic Development Department,Dead,"(34.520880952, -106.240580985)",35,LEG
Washington,Physical Activity,Public Transportation,"Requires providing for the needs of public transportation, bicyclists, and pedestrians in all city planning, Allows any city or town to use funds available for bicycle paths and pedestrian walkways.<br>",Dead,"(47.522278629, -120.47001079)",63,LEG
Tennessee,Nutrition,Appropriations,Public Funds and Financing,Dead,"(35.68094058, -85.774490914)",2,LEG
Hawaii,Obesity,Appropriations,Agribusiness,Dead,"(21.304850435, -157.857749403)",28,LEG
California,Physical Activity,Physical Education Requirements,Physical Education: Self-Defense and Safety Instruction,Enacted,"(37.638640123, -120.999999538)",61,LEG
Missouri,Nutrition,Agriculture and Farming,Agriculture,Enacted,"(38.635790776, -92.566300053)",10,LEG
New Mexico,Nutrition,Farm Direct Foods,Fresh Fruit for School Lunches,Dead,"(34.520880952, -106.240580985)",8,LEG
Colorado,Obesity,Incentives,Sales Tax Exemption for Soft Drinks,Dead,"(38.843840757, -106.133610921)",38,LEG
West Virginia,Nutrition,Appropriations,Budget Bill,Enacted,"(38.665510202, -80.712640135)",2,LEG
Alaska,Physical Activity,Pedestrians/Walking,Joe Williams Coastal Trail,Enacted,"(64.845079957001, -147.722059036)",69,LEG
Minnesota,Obesity,Food Restrictions,Taxation,Dead,"(46.355648736, -94.794200503)",35,LEG
California,Obesity,Appropriations,Agriculture: Victory Garden Growers,Dead,"(37.638640123, -120.999999538)",28,LEG
Hawaii,Physical Activity,Task Forces/Councils,Medicaid Wellness Pilot Program,Dead,"(21.304850435, -157.857749403)",67,LEG
Minnesota,Physical Activity,Public Transportation,Capital Improvements,Dead,"(46.355648736, -94.794200503)",63,LEG
California,Obesity,Sugar Sweetened Beverages,Local Taxation: Counties: School Districts,Dead,"(37.638640123, -120.999999538)",43,LEG
District of Columbia,Obesity,Body Mass Index (BMI),Streetcar Project Comprehensive Plan,Enacted,"(38.890371385, -77.031961127)",29,LEG
California,Physical Activity,Public Safety,Redevelopment: Plan Amendment,Dead,"(37.638640123, -120.999999538)",62,LEG
Minnesota,Nutrition,Medical Care,Capital Investment,Dead,"(46.355648736, -94.794200503)",16,LEG
Maryland,Nutrition,Appropriations,Egg Seller Exception,Enacted,"(39.290580964, -76.609260111)",2,LEG
Minnesota,Obesity,Appropriations,Stadiums,Dead,"(46.355648736, -94.794200503)",28,LEG
Connecticut,Nutrition,Task Forces/Councils,Agricultural Development,Enacted,"(41.56266102, -72.649840952)",23,LEG
Pennsylvania,Obesity,Appropriations,Appropriation Bill,Enacted,"(40.793730152, -77.860700294)",28,LEG
Rhode Island,Obesity,Body Mass Index (BMI),State Affairs and Government,Dead,"(41.708280193, -71.522470314)",29,LEG
Hawaii,Nutrition,Healthier Food Retail and Food Deserts,General Excise Taxes on Sweetened Beverages,Dead,"(21.304850435, -157.857749403)",12,LEG
Idaho,Obesity,Appropriations,Eminent Domain,Dead,"(43.682630005, -114.363730042)",28,LEG
Massachusetts,Obesity,Task Forces/Councils,School Nutrition,Dead,"(42.27687047, -72.082690675)",44,LEG
Washington,Obesity,Appropriations,Procedural Criteria for Adopting Comprehensive Plans,Enacted,"(47.522278629, -120.47001079)",28,REG
Louisiana,Nutrition,Appropriations,Child Placing Agencies,Enacted,"(31.312660644, -92.445680071)",2,REG
Maryland,Nutrition,Farm Direct Foods,Maryland Livestock and Poultry Care Advisory Board,Dead,"(39.290580964, -76.609260111)",8,LEG
Arkansas,Physical Activity,Appropriations,After School Program Grants,Enacted,"(34.748650124, -92.274490743)",48,LEG
Maryland,Physical Activity,Built Environment and Street-Scale Design,State Highway Administration,Dead,"(39.290580964, -76.609260111)",68,LEG
New York,Nutrition,Farm Direct Foods,Health and Mental Hygiene Budget,Enacted,"(42.827001032, -75.543970427)",8,LEG
North Carolina,Obesity,Food Restrictions,2007 Appropriation Act,Enacted,"(35.466220975, -79.159250463)",35,LEG
West Virginia,Physical Activity,Pedestrians/Walking,Governor's Office of Health Enhancement,Dead,"(38.665510202, -80.712640135)",69,LEG
Hawaii,Physical Activity,Appropriations,Pedestrian Safety,Enacted,"(21.304850435, -157.857749403)",48,LEG
Maryland,Physical Activity,Pedestrians/Walking,Vehicle Laws,Dead,"(39.290580964, -76.609260111)",69,LEG
Illinois,Physical Activity,Pedestrians/Walking,Statewide Transportation Policy,Dead,"(40.485010283, -88.997710178)",69,LEG
New York,Obesity,Body Mass Index (BMI),Safe Access to Public Roads for All Users,Enacted,"(42.827001032, -75.543970427)",29,LEG
Pennsylvania,Nutrition,Access to Healthy Foods,National Fresh Food Financing Initiative,Enacted,"(40.793730152, -77.860700294)",1,LEG
Minnesota,Physical Activity,Bicycling,Environment,Dead,"(46.355648736, -94.794200503)",50,LEG
New York,Obesity,Initiatives and Programs,Relates to Obesity Prevention<br>,Dead,"(42.827001032, -75.543970427)",46,LEG
South Carolina,Obesity,Portion Size,Student Snack Consumption,Dead,"(33.998821303, -81.045371207)",42,LEG
Texas,Nutrition,School Nutrition,Sweetened Beverages Tax,Dead,"(31.827240407, -99.426770206)",21,LEG
Oklahoma,Nutrition,Nutrition Standards,"My Life, My Choice",Enacted,"(35.472031356, -97.521070214)",6,REG
Massachusetts,Physical Activity,School Siting,Transportation System Modernization,Dead,"(42.27687047, -72.082690675)",65,LEG
New Hampshire,Nutrition,Appropriations,Certain Technical Corrections in the Insurance Laws,Enacted,"(43.655950113, -71.50036092)",2,LEG
California,Physical Activity,Bicycling,An Act Relating to Transportation<br>,Enacted,"(37.638640123, -120.999999538)",50,LEG
North Dakota,Nutrition,School Nutrition,Expenses Of The Department Of Health,Enacted,"(47.475319779, -100.118421049)",21,LEG
Kentucky,Physical Activity,Task Forces/Councils,Healthy Lifestyles,Dead,"(37.645970271, -84.774971048)",67,LEG
New York,Obesity,Initiatives and Programs,Omnibus Obesity and Respiratory Illness Reduction Act,Introduced,"(42.827001032, -75.543970427)",46,LEG
Georgia,Nutrition,Access to Healthy Foods,Vending Machines Stocked with Healthy Options,Dead,"(32.839681093, -83.627580346)",1,LEG
Kentucky,Nutrition,Nutrition Standards,Legislative Task Force on Childhood Obesity,Enacted,"(37.645970271, -84.774971048)",6,LEG
Maryland,Nutrition,Agriculture and Farming,Farmers Markets,Dead,"(39.290580964, -76.609260111)",10,LEG
Minnesota,Physical Activity,Physical Education Requirements,Education,Dead,"(46.355648736, -94.794200503)",61,LEG
Louisiana,Nutrition,Access to Healthy Foods,4 Year Old Children Program Content Standards,Enacted,"(31.312660644, -92.445680071)",1,REG
Rhode Island,Physical Activity,Bicycling,Legislation,Enacted,"(41.708280193, -71.522470314)",50,LEG
Hawaii,Obesity,Appropriations,State and Counties to Allow Properties Structures and B,Dead,"(21.304850435, -157.857749403)",28,LEG
Montana,Nutrition,Agriculture and Farming,Food and Agriculture Innovation Centers,Dead,"(47.066528972, -109.424420645)",10,LEG
New York,Physical Activity,Appropriations,Insurer Fund for Underserved Neighborhood Areas,Dead,"(42.827001032, -75.543970427)",48,LEG
New York,Nutrition,Task Forces/Councils,Foods and Beverages on School Property,Dead,"(42.827001032, -75.543970427)",23,LEG
Maine,Nutrition,Fruits and Vegetables,State Prison Vegetable Garden Requirements,Dead,"(45.254228894001, -68.985031336)",15,LEG
New Jersey,Obesity,Appropriations,Fort Monmouth Economic Revitalization,Enacted,"(40.130570048, -74.273691288)",28,LEG
Louisiana,Obesity,Appropriations,Bicycles,Enacted,"(31.312660644, -92.445680071)",28,LEG
Maryland,Nutrition,Farm Direct Foods,Local Educational Agency,Enacted,"(39.290580964, -76.609260111)",8,LEG
New Jersey,Physical Activity,Public Transportation,Administrative Rules for Fees,Enacted,"(40.130570048, -74.273691288)",63,REG
Tennessee,Obesity,Menu Labeling,Hotels and Restaurants,Dead,"(35.68094058, -85.774490914)",41,LEG
Nebraska,Nutrition,Task Forces/Councils,Wellness Program Study,Dead,"(41.641040988001, -99.365720623)",23,LEG
New York,Nutrition,Disparities/Equity,New York State Farm Grown Products,Dead,"(42.827001032, -75.543970427)",7,LEG
Tennessee,Nutrition,Incentives,Taxes,Dead,"(35.68094058, -85.774490914)",17,LEG
New York,Physical Activity,Built Environment and Street-Scale Design,An Act to Amend the Executive Law and the State Finance Law,Introduced,"(42.827001032, -75.543970427)",68,LEG
Idaho,Nutrition,Farmers Markets,Rules of the Preferred Promotion Program,Enacted,"(43.682630005, -114.363730042)",9,REG
District of Columbia,Nutrition,Agriculture and Farming,Bellevue Small Area Action Plan,Enacted,"(38.890371385, -77.031961127)",10,LEG
Florida,Obesity,Menu Labeling,Community Affairs,Dead,"(28.932040377, -81.928960539)",41,LEG
Hawaii,Obesity,Appropriations,General Excise Tax,Dead,"(21.304850435, -157.857749403)",28,LEG
Massachusetts,Nutrition,Appropriations,An Act Making Appropriations,Dead,"(42.27687047, -72.082690675)",2,LEG
Tennessee,Obesity,Appropriations,Transportation Department of Tennessee,Dead,"(35.68094058, -85.774490914)",28,LEG
Colorado,Nutrition,School Nutrition,Food Systems Advisory Council,Enacted,"(38.843840757, -106.133610921)",21,LEG
California,Nutrition,Farm Direct Foods,An Act Related to Pupil Nutrition<br>,Dead,"(37.638640123, -120.999999538)",8,LEG
North Carolina,Obesity,TV/Screen Viewing,Video Gaming and Profit Sharing,Dead,"(35.466220975, -79.159250463)",45,LEG
Hawaii,Nutrition,Appropriations,Public School Menu Plans,Dead,"(21.304850435, -157.857749403)",2,LEG
Maine,Nutrition,Appropriations,School Children's Well Being,Dead,"(45.254228894001, -68.985031336)",2,LEG
Maryland,Nutrition,Appropriations,Program Open Space,Dead,"(39.290580964, -76.609260111)",2,LEG
Vermont,Nutrition,Healthier Food Retail and Food Deserts,Health Care Coverage,Dead,"(43.625381239, -72.517640791)",12,LEG
Maryland,Obesity,Appropriations,Electronic Personal Assistive Mobility Devices,Enacted,"(39.290580964, -76.609260111)",28,LEG
Texas,Obesity,Appropriations,Sweetened Beverages Tax,Dead,"(31.827240407, -99.426770206)",28,LEG
Missouri,Obesity,Menu Labeling,Complete Streets Policies,Dead,"(38.635790776, -92.566300053)",41,LEG
Oregon,Nutrition,Nutrition Standards,The Oregon Food Policy Council,Dead,"(44.567449424, -120.155031326)",6,LEG
Iowa,Nutrition,Access to Healthy Foods,Local Food and Farm Task Force,Dead,"(42.469400913, -93.816490556)",1,LEG
Washington,Obesity,Food Restrictions,Church Property,Dead,"(47.522278629, -120.47001079)",35,LEG
Illinois,Physical Activity,Bicycling,Resolution,Enacted,"(40.485010283, -88.997710178)",50,LEG
California,Nutrition,Medical Care,Subdivisions,Dead,"(37.638640123, -120.999999538)",16,LEG
Mississippi,Nutrition,Incentives,Task Force on Combating Childhood Obesity,Dead,"(32.745510099, -89.538030825)",17,LEG
Georgia,Nutrition,Fruits and Vegetables,Elementary and Secondary Education,Dead,"(32.839681093, -83.627580346)",15,LEG
Oklahoma,Obesity,Appropriations,School Nutrition,Dead,"(35.472031356, -97.521070214)",28,LEG
Hawaii,Nutrition,Appropriations,Hawaii Made Products and Labeling Requirements,Dead,"(21.304850435, -157.857749403)",2,LEG
North Dakota,Physical Activity,Bicycling,Street Plans,Enacted,"(47.475319779, -100.118421049)",50,LEG
New York,Obesity,Access to Drinking Water,Nutrition and Fitness Website,Dead,"(42.827001032, -75.543970427)",33,LEG
New York,Nutrition,Food Assistance Programs,Health and Mental Hygiene Budget<br>,Enacted,"(42.827001032, -75.543970427)",3,LEG
Michigan,Obesity,Food Restrictions,School Grant Program,Dead,"(44.661319543001, -84.71439027)",35,LEG
Mississippi,Obesity,Sugar Sweetened Beverages,Sweetened Beverages and Syrups Tax Law,Dead,"(32.745510099, -89.538030825)",43,LEG
Connecticut,Physical Activity,Task Forces/Councils,Healthfirst Connecticut and Healthy Kids Initiatives,Enacted,"(41.56266102, -72.649840952)",67,LEG
Washington,Physical Activity,"Parks, Recreation and Trails",Habitat Conservation Programs,Enacted,"(47.522278629, -120.47001079)",59,LEG
Arkansas,Nutrition,Appropriations,Division of Aging,Enacted,"(34.748650124, -92.274490743)",2,LEG
Illinois,Nutrition,Liability and Indemnity,General Revenue Fund Appropriation,Dead,"(40.485010283, -88.997710178)",18,LEG
Nebraska,Obesity,Food Restrictions,Farm to School Program Task Force,Dead,"(41.641040988001, -99.365720623)",35,LEG
Hawaii,Physical Activity,Bicycling,Surcharges for Public Projects,Dead,"(21.304850435, -157.857749403)",50,LEG
New Jersey,Physical Activity,Bicycling,An Act Establishing the Smart Housing Incentives Act<br>,Dead,"(40.130570048, -74.273691288)",50,LEG
Mississippi,Nutrition,Nutrition Standards,K-12 Education Policy<br>,Enacted,"(32.745510099, -89.538030825)",6,REG
Maryland,Nutrition,Agriculture and Farming,Poultry and Rabbits,Dead,"(39.290580964, -76.609260111)",10,LEG
New York,Obesity,Task Forces/Councils,Task Force On Food Nutrition and Physical Education,Dead,"(42.827001032, -75.543970427)",44,LEG
Hawaii,Nutrition,Farmers Markets,<br>AGRICULTURAL LANDSâFARMERS' MARKETSâFOOD HUBS <br>,Enacted,"(21.304850435, -157.857749403)",9,LEG
Ohio,Nutrition,Food Assistance Programs,"Women, Infants and Children (WIC) Program",Enacted,"(40.060210141, -82.404260056)",3,REG
Connecticut,Nutrition,Fruits and Vegetables,An Act Concerning the Governor's Council for Agricultural Development<br>,Enacted,"(41.56266102, -72.649840952)",15,LEG
New York,Nutrition,Media Campaigns,Department of Health,Dead,"(42.827001032, -75.543970427)",19,LEG
New York,Obesity,Body Mass Index (BMI),Appropriations for Support of Government,Dead,"(42.827001032, -75.543970427)",29,LEG
Louisiana,Nutrition,Medical Care,Pubic Use Near Levees,Enacted,"(31.312660644, -92.445680071)",16,LEG
Florida,Obesity,Appropriations,Growth Management Provisions,Enacted,"(28.932040377, -81.928960539)",28,LEG
Wisconsin,Nutrition,Vending,Physical Fitness Assessments,Dead,"(44.393191174, -89.816370742)",25,LEG
New York,Physical Activity,Bicycling,Bicycle Access to Public Office Buildings,Dead,"(42.827001032, -75.543970427)",50,LEG
North Carolina,Obesity,Appropriations,Active Living Communities Commission,Dead,"(35.466220975, -79.159250463)",28,LEG
Arizona,Obesity,Sugar Sweetened Beverages,Sales Tax for Candy and Soft Drinks,Dead,"(34.86597028, -111.763811277)",43,LEG
Washington,Nutrition,Medical Care,Rural Conservation Development Demonstration Projects,Dead,"(47.522278629, -120.47001079)",16,LEG
Nevada,Nutrition,Appropriations,Council For Fitness And Wellness,Enacted,"(39.49324039, -117.071840564)",2,LEG
California,Obesity,Body Mass Index (BMI),Transportation Funds: Capital Improvement Projects,Dead,"(37.638640123, -120.999999538)",29,LEG
New York,Physical Activity,Public Safety,Establishing a Community Garden Task Force<br>,Dead,"(42.827001032, -75.543970427)",62,LEG
Florida,Obesity,Appropriations,Energy,Enacted,"(28.932040377, -81.928960539)",28,LEG
Vermont,Obesity,Menu Labeling,Maple Products Labeling Requirements,Dead,"(43.625381239, -72.517640791)",41,LEG
Massachusetts,Obesity,Appropriations,Farmers Markets,Dead,"(42.27687047, -72.082690675)",28,LEG
Utah,Physical Activity,Disabilities,Administration of the School for the Deaf and the Blind,Enacted,"(39.360700171, -111.587130635)",52,REG
Indiana,Obesity,Access to Drinking Water,Child Care Regulation,Dead,"(39.766910452, -86.149960194)",33,LEG
Montana,Nutrition,Appropriations,Funding for Community Gardens,Dead,"(47.066528972, -109.424420645)",2,LEG
Kentucky,Obesity,Sugar Sweetened Beverages,Nutritional Standards for School Foods,Enacted,"(37.645970271, -84.774971048)",43,REG
Illinois,Obesity,Appropriations,Farm Fresh Schools Program Act,Dead,"(40.485010283, -88.997710178)",28,LEG
Hawaii,Physical Activity,Media Campaigns,School Traffic Safety,Enacted,"(21.304850435, -157.857749403)",57,LEG
Texas,Nutrition,Vending,Trans Fat Restrictions on School Districts,Dead,"(31.827240407, -99.426770206)",25,LEG
Rhode Island,Physical Activity,Safe Routes to Schools,State Affairs and Government,Dead,"(41.708280193, -71.522470314)",64,LEG
District of Columbia,Obesity,Appropriations,Eminent Domain,Dead,"(38.890371385, -77.031961127)",28,LEG
Florida,Obesity,Incentives,Streamlined Sales and Use Tax Agreement,Dead,"(28.932040377, -81.928960539)",38,LEG
Indiana,Nutrition,Access to Healthy Foods,Local Food and Farm Task Force,Dead,"(39.766910452, -86.149960194)",1,LEG
Minnesota,Physical Activity,Built Environment and Street-Scale Design,Transportation,Dead,"(46.355648736, -94.794200503)",68,LEG
Rhode Island,Nutrition,Food Assistance Programs,Health Insurance,Dead,"(41.708280193, -71.522470314)",3,LEG
Massachusetts,Nutrition,Vending,School Nutrition,Dead,"(42.27687047, -72.082690675)",25,LEG
Tennessee,Nutrition,Agriculture and Farming,Appropriations,Dead,"(35.68094058, -85.774490914)",10,LEG
Illinois,Nutrition,Liability and Indemnity,Department Of Commerce And Economic Opportunity,Dead,"(40.485010283, -88.997710178)",18,LEG
Minnesota,Obesity,Body Mass Index (BMI),Capital Improvements,Dead,"(46.355648736, -94.794200503)",29,LEG
New York,Physical Activity,Physical Activity Requirements,Trans fat reduction; Menu Labeling; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,"(42.827001032, -75.543970427)",60,LEG
New York,Physical Activity,Pedestrians/Walking,Blighted Property and Areas,Dead,"(42.827001032, -75.543970427)",69,LEG
Colorado,Obesity,Food Restrictions,Boces School Food Program,Enacted,"(38.843840757, -106.133610921)",35,LEG
Texas,Obesity,Incentives,Programs to Improve Health of Public School Students,Dead,"(31.827240407, -99.426770206)",38,LEG
Massachusetts,Nutrition,Medical Care,Motorist Right of Way Violation Penalty,Dead,"(42.27687047, -72.082690675)",16,LEG
Illinois,Nutrition,Task Forces/Councils,Food Handling Regulation Enforcement,Enacted,"(40.485010283, -88.997710178)",23,LEG
Florida,Obesity,Body Mass Index (BMI),Pinellas Planning Council,Dead,"(28.932040377, -81.928960539)",29,LEG
New York,Nutrition,Farmers Markets,An Act to Amend Laws,Enacted,"(42.827001032, -75.543970427)",9,LEG
Mississippi,Nutrition,Incentives,Sales Tax,Dead,"(32.745510099, -89.538030825)",17,LEG
Minnesota,Physical Activity,Pedestrians/Walking,Capital Improvements,Dead,"(46.355648736, -94.794200503)",69,LEG
Maine,Physical Activity,Incentives,An act to implement the recommendations of the Maine economic growth council regarding prosperity,Introduced,"(45.254228894001, -68.985031336)",55,LEG
New York,Nutrition,Appropriations,New York Calcium Purchasing Preference Initiative,Dead,"(42.827001032, -75.543970427)",2,LEG
Washington,Physical Activity,Incentives,Insurance Benefits,Dead,"(47.522278629, -120.47001079)",55,LEG
Ohio,Obesity,Food Restrictions,Nutritional Standards,Dead,"(40.060210141, -82.404260056)",35,LEG
Illinois,Physical Activity,Public Transportation,Road Funds,Dead,"(40.485010283, -88.997710178)",63,LEG
Indiana,Nutrition,Farm Direct Foods,Farmers Markets and Roadside Stands,Enacted,"(39.766910452, -86.149960194)",8,LEG
Washington,Physical Activity,Public Transportation,Residential Infrastructure,Dead,"(47.522278629, -120.47001079)",63,LEG
Hawaii,Nutrition,Media Campaigns,Increased Food Security and Food Self-Sufficiency Strategy,Dead,"(21.304850435, -157.857749403)",27,LEG
Texas,Obesity,Menu Labeling,2011 Multifamily Housing Revenue Bond Rules,Enacted,"(31.827240407, -99.426770206)",41,REG
Texas,Nutrition,Liability and Indemnity,Community Development,Enacted,"(31.827240407, -99.426770206)",18,REG
New York,Nutrition,Farmers Markets,"Transportation, Economic Development and Environmental Conservation Budget",Enacted,"(42.827001032, -75.543970427)",9,LEG
New York,Obesity,Appropriations,Tax Credits for Employers,Dead,"(42.827001032, -75.543970427)",28,LEG
Washington,Nutrition,Trans Fats,Insurance Benefits with Wellness Incentives,Dead,"(47.522278629, -120.47001079)",24,LEG
Minnesota,Physical Activity,Bicycling,The Active Transportation Competitive Grant Program,Introduced,"(46.355648736, -94.794200503)",50,LEG
Iowa,Nutrition,Trans Fats,Sales Tax Exemption,Dead,"(42.469400913, -93.816490556)",24,LEG
Massachusetts,Obesity,Appropriations,Comprehensive Health Education in Schools,Dead,"(42.27687047, -72.082690675)",28,LEG
Louisiana,Physical Activity,Physical Education Requirements,Physical Education Content Standards,Enacted,"(31.312660644, -92.445680071)",61,REG
California,Physical Activity,Appropriations,An Act Relating to the Environment,Introduced,"(37.638640123, -120.999999538)",48,LEG
Arkansas,Obesity,Disparities/Equity,Appropriation to the Department of Human Services,Dead,"(34.748650124, -92.274490743)",32,LEG
Maine,Obesity,Incentives,Individual and Small Group Health Plans,Enacted,"(45.254228894001, -68.985031336)",38,LEG
New York,Obesity,Appropriations,Green Jobs Development,Dead,"(42.827001032, -75.543970427)",28,LEG
Oregon,Nutrition,Appropriations,Relating to Grants Awarded to Schools for Food Programs,Introduced,"(44.567449424, -120.155031326)",2,LEG
Massachusetts,Obesity,Menu Labeling,Labeling of Food,Dead,"(42.27687047, -72.082690675)",41,LEG
Oregon,Obesity,Liability and Indemnity,Soft Drink and Candy Tax Amendment,Dead,"(44.567449424, -120.155031326)",39,LEG
Missouri,Obesity,Appropriations,Farm to Institution Initiative,Dead,"(38.635790776, -92.566300053)",28,LEG
Missouri,Obesity,Appropriations,Streamlined Sales and Use Tax Agreement,Dead,"(38.635790776, -92.566300053)",28,LEG
Washington,Obesity,Appropriations,Citizen Physical Health Land Use and Recreation,Enacted,"(47.522278629, -120.47001079)",28,LEG
Montana,Nutrition,Food Security,Study on Reducing Childhood Hunger,Enacted,"(47.066528972, -109.424420645)",14,LEG
New York,Physical Activity,Task Forces/Councils,Trans fat reduction; Menu Labeling; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,"(42.827001032, -75.543970427)",67,LEG
West Virginia,Nutrition,Access to Healthy Foods,Sales Tax on Food,Dead,"(38.665510202, -80.712640135)",1,LEG
Massachusetts,Obesity,Appropriations,Wellness Trust,Dead,"(42.27687047, -72.082690675)",28,LEG
Louisiana,Physical Activity,Bicycling,Louisiana Complete Streets,Enacted,"(31.312660644, -92.445680071)",50,LEG
Maryland,Nutrition,Medical Care,Vehicle Laws,Enacted,"(39.290580964, -76.609260111)",16,LEG
Rhode Island,Nutrition,Appropriations,State Affairs and Government,Dead,"(41.708280193, -71.522470314)",2,LEG
Oklahoma,Nutrition,Food Assistance Programs,Public Health,Enacted,"(35.472031356, -97.521070214)",3,LEG
Alabama,Nutrition,Food Security,To Make Appropriations <br>,Enacted,"(32.840571122, -86.631860762)",14,LEG
Louisiana,Physical Activity,Public Safety,Capital Outlay Budget,Enacted,"(31.312660644, -92.445680071)",62,LEG
Hawaii,Nutrition,Farm Direct Foods,Appropriation for the Women and Infant Children Farmers,Dead,"(21.304850435, -157.857749403)",8,LEG
California,Obesity,Appropriations,Redevelopment: Fort Ord Reuse Plan: Project Area,Dead,"(37.638640123, -120.999999538)",28,LEG
Florida,Physical Activity,Physical Activity Requirements,Chronic Diseases<br>,Dead,"(28.932040377, -81.928960539)",60,LEG
California,Obesity,Appropriations,Public Contracts: Healthy and Sustainable Food,Dead,"(37.638640123, -120.999999538)",28,LEG
Illinois,Obesity,Appropriations,Chicago Educational Facilities,Enacted,"(40.485010283, -88.997710178)",28,LEG
New York,Obesity,Appropriations,Downstate Revitalization Fund Program,Enacted,"(42.827001032, -75.543970427)",28,REG
Maryland,Physical Activity,Built Environment and Street-Scale Design,Vehicle Laws,Dead,"(39.290580964, -76.609260111)",68,LEG
Hawaii,Nutrition,Farm Direct Foods,Agriculture,Dead,"(21.304850435, -157.857749403)",8,LEG
Texas,Obesity,Food Restrictions,Prohibiting the Purchase of Certain Food Items,Introduced,"(31.827240407, -99.426770206)",35,LEG
Texas,Nutrition,Farm Direct Foods,Farm to School Coordination Task Force,Enacted,"(31.827240407, -99.426770206)",8,LEG
Florida,Nutrition,Appropriations,School Food Services,Dead,"(28.932040377, -81.928960539)",2,LEG
Mississippi,Obesity,Health Insurance Coverage,Wellness Council Activities,Dead,"(32.745510099, -89.538030825)",37,LEG
Texas,Nutrition,Food Assistance Programs,An Act Relating to Establishing a Pilot Program for the Purchase of Produce at Farmersâ Markets under Certain Nutrition Assistance Programs,Introduced,"(31.827240407, -99.426770206)",3,LEG
Virginia,Obesity,Appropriations,Budget Bill,Enacted,"(37.542680674, -78.457890463)",28,LEG
Nevada,Obesity,Appropriations,Physical Fitness,Enacted,"(39.49324039, -117.071840564)",28,LEG
Massachusetts,Physical Activity,Bicycling,Transportation System Modernization,Dead,"(42.27687047, -72.082690675)",50,LEG
New York,Nutrition,Liability and Indemnity,Qualified School Construction Bonds,Enacted,"(42.827001032, -75.543970427)",18,REG
Illinois,Nutrition,Food Assistance Programs,Medical Payment,Enacted,"(40.485010283, -88.997710178)",3,REG
Texas,Nutrition,Trans Fats,Sweetened Beverages Tax,Dead,"(31.827240407, -99.426770206)",24,LEG
Texas,Obesity,Food Restrictions,Nutrition and Food,Enacted,"(31.827240407, -99.426770206)",35,REG
District of Columbia,Obesity,Disparities/Equity,Hospital and Medical Services Corporation,Enacted,"(38.890371385, -77.031961127)",32,LEG
New York,Obesity,Appropriations,Downstate Revitalization Fund Program,Enacted,"(42.827001032, -75.543970427)",28,REG
New Jersey,Nutrition,Incentives,Childrenâs Health Promotion Fund,Dead,"(40.130570048, -74.273691288)",17,LEG
Oregon,Nutrition,Farmers Markets,WIC Vendor and Farmer Administration,Enacted,"(44.567449424, -120.155031326)",9,REG
District of Columbia,Obesity,Disparities/Equity,Workplace Wellness,Dead,"(38.890371385, -77.031961127)",32,LEG
California,Obesity,Menu Labeling,Housing: Construction Loans,Dead,"(37.638640123, -120.999999538)",41,LEG
Texas,Nutrition,Appropriations,An Act Relating to the Establishment of a Community Development Grocery Store Revolving Loan Fund Program(House),Introduced,"(31.827240407, -99.426770206)",2,LEG
North Carolina,Physical Activity,Task Forces/Councils,Childhood Obesity Legislative Task Force,Dead,"(35.466220975, -79.159250463)",67,LEG
Maryland,Obesity,Appropriations,Quiet Vehicles and Pedestrian Safety Task Force,Dead,"(39.290580964, -76.609260111)",28,LEG
Connecticut,Nutrition,Farm Direct Foods,An Act Concerning Revisions to Statutes Relating to the Department of Public Health and Social Services and Town Clerks<br>,Enacted,"(41.56266102, -72.649840952)",8,LEG
Wyoming,Obesity,Food Restrictions,Agriculture,Dead,"(43.235541343, -108.109830353)",35,LEG
