County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Clinton,Animal,Dragonflies and Damselflies,Dragonflies,Ophiogomphus colubrinus,Boreal Snaketail,S1,G5
Washington,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Onondaga,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterolepis,Blacknose Shiner,S2S3,G5
Suffolk,Animal,Butterflies and Moths,Moths,Dargida rubripennis,The Pink Streak,SU,G3G4
Schoharie,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,S5B,G5
Columbia,Animal,Birds,Vireos,Vireo olivaceus,Red-eyed Vireo,S5B,G5
Rensselaer,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,S3,G5
Yates,Animal,Birds,"Rails, Coots and Cranes",Rallus limicola,Virginia Rail,S5,G5
Yates,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,S5B,G5
Schenectady,Animal,Butterflies and Moths,Moths,Catocala pretiosa pretiosa,Precious Underwing,SH,G4T2
Essex,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,S5,G5
Seneca,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,S5B,G5
Tompkins,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Smallanthus uvedalia,Bear's Foot,SH,G4G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Angelica lucida,Seacoast Angelica,S2,G5
Chautauqua,Animal,Birds,Wood-Warblers,Seiurus aurocapilla,Ovenbird,S5B,G5
St. Lawrence,Natural Community,Uplands,Forested Uplands,Maple-basswood rich mesic forest,Maple-Basswood Rich Mesic Forest,S3,G4
Putnam,Animal,Birds,Swallows,Progne subis,Purple Martin,S4B,G5
Tompkins,Animal,Birds,Cardinals and Buntings,Spiza americana,Dickcissel,SNA,G5
Nassau,Plant,Flowering Plants,Orchids,Platanthera cristata,Orange Crested Orchid,S1,G5
Schenectady,Animal,Butterflies and Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,S1,G5T2
Putnam,Plant,Flowering Plants,Other Flowering Plants,Cuscuta pentagona,Five-angled Dodder,S3,G4G5
Wyoming,Animal,Birds,Flycatchers,Empidonax virescens,Acadian Flycatcher,S3B,G5
Broome,Animal,Birds,Owls,Tyto alba,Barn Owl,S1S2,G5
Washington,Animal,Dragonflies and Damselflies,Dragonflies,Ophiogomphus aspersus,Brook Snaketail,S3,G4
Chenango,Animal,Mussels and Clams,Freshwater Mussels,Lampsilis cariosa,Yellow Lampmussel,S3,G3G4
Saratoga,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Scolopax minor,American Woodcock,S5B,G5
Seneca,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,S5,G5
Monroe,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Four-toed Salamander,S5,G5
Jefferson,Animal,Dragonflies and Damselflies,Dragonflies,Erythrodiplax berenice,Seaside Dragonlet,S2,G5
Ulster,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin,S5,G5
Hamilton,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,S5B,G5
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass,S3,G5
Seneca,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Marl pond shore,Marl Pond Shore,S1,G3G4
Westchester,Animal,Butterflies and Moths,Moths,Catocala pretiosa pretiosa,Precious Underwing,SH,G4T2
Rensselaer,Animal,Reptiles,Snakes,Opheodrys vernalis,Smooth Green Snake,S4,G5
Monroe,Animal,Mussels and Clams,Freshwater Mussels,Ligumia nasuta,Eastern Pondmussel,S2S3,G4
Niagara,Animal,Reptiles,Turtles,Trachemys scripta,Slider,SNA,G5
Chautauqua,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,S5B,G5
Sullivan,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,S5,G5
Dutchess,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Erie,Plant,Flowering Plants,Other Flowering Plants,Lithospermum parviflorum,Shaggy Marbleseed,SH,G4G5T4
Essex,Animal,Birds,Owls,Bubo virginianus,Great Horned Owl,S5,G5
Schoharie,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,S5,G5
Cattaraugus,Natural Community,Rivers and Streams,Natural Rivers and Streams,Intermittent stream,Intermittent Stream,S4,G4
Richmond,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,"S2S3B,S2N",G5
Livingston,Plant,Flowering Plants,Other Flowering Plants,Lespedeza frutescens,Violet Bush Clover,S3,G5
Rensselaer,Animal,Birds,Owls,Megascops asio,Eastern Screech-Owl,S5,G5
Oswego,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Rensselaer,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,S5,G5
Chenango,Animal,Reptiles,Snakes,Thamnophis sauritus,Eastern Ribbonsnake,S4,G5
Seneca,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,S5,G5
Monroe,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,S5,G5
Tompkins,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,S3,G5
Rockland,Plant,Flowering Plants,Sedges,Carex frankii,Frank's Sedge,S2,G5
Columbia,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal,"S2S3B,SNRN",G5
Lewis,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,S2S3,G4
Wyoming,Animal,Birds,Wood-Warblers,Geothlypis trichas,Common Yellowthroat,S5B,G5
Genesee,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,S5,G5
Oneida,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,S1,G4
Erie,Plant,Flowering Plants,Other Flowering Plants,Lysimachia quadriflora,Four-flowered Loosestrife,S1,G5?
Schenectady,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,S5B,G5
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Crotalaria sagittalis,Rattlebox,S1,G5
Lewis,Animal,Dragonflies and Damselflies,Dragonflies,Tachopteryx thoreyi,Gray Petaltail,S2,G4
Kings,Plant,Flowering Plants,Other Flowering Plants,Physalis virginiana var. virginiana,Virginia Ground Cherry,SH,G5T5
Jefferson,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus buccinator,Trumpeter Swan,S1B,G4
Monroe,Plant,Flowering Plants,Other Flowering Plants,Lathyrus ochroleucus,Pale Vetchling,S3,G5
Orange,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,S5,G5
Cattaraugus,Animal,Fish,"Minnows, Shiners, Suckers",Hybopsis amblops,Bigeye Chub,S1S2,G5
Schuyler,Animal,Birds,Vireos,Vireo solitarius,Blue-headed Vireo,S5B,G5
Cayuga,Plant,Flowering Plants,Other Flowering Plants,Veronica peregrina ssp. xalapensis,Neckweed,S3,G5T5
Lewis,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,S5,G5
Clinton,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Columbia,Animal,Birds,Wood-Warblers,Setophaga coronata,Yellow-rumped Warbler,S5B,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Linum medium var. texanum,Southern Yellow Flax,S2,G5T5
Ontario,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,S1,G5
Suffolk,Animal,Dragonflies and Damselflies,Dragonflies,Libellula needhami,Needham's Skimmer,S3,G5
Saratoga,Plant,Flowering Plants,Other Flowering Plants,Polygonum douglasii,Douglas' Knotweed,S1S2,G5
Wayne,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,S3B,G4
Wyoming,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,S5,G5
Wayne,Animal,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,S3S4B,G5
Fulton,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,S5B,G5
Cattaraugus,Plant,Flowering Plants,Other Flowering Plants,Geum virginianum,Rough Avens,S2,G5
Warren,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,"S3B,SNRN",G5
Lewis,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich graminoid fen,Rich Graminoid Fen,S1S2,G3
Kings,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,S1,G1G2
Bronx,Plant,Flowering Plants,Other Flowering Plants,Linum striatum,Stiff Yellow Flax,S3,G5
Essex,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,S5B,G5
Herkimer,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,S5B,G5
Onondaga,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,"S3B,S1N",G5
Warren,Plant,Flowering Plants,Other Flowering Plants,Polygonum douglasii,Douglas' Knotweed,S1S2,G5
Saratoga,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatus,Swainson's Thrush,S5B,G5
Livingston,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,S5,G5
Putnam,Animal,Birds,Sparrows and Towhees,Melospiza melodia,Song Sparrow,S5B,G5
Lewis,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady's Slipper,S3,G4G5
Tioga,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,S5,G5
Niagara,Animal,Fish,Sturgeons and Paddlefish,Acipenser fulvescens,Lake Sturgeon,S2S3,G3G4
Oneida,Plant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz's Sedge,S2S3,G3G4
Greene,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,S5,G5
Westchester,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,S1,G4
Fulton,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Oswego,Animal,Birds,Sparrows and Towhees,Passerculus sandwichensis,Savannah Sparrow,S5B,G5
Orleans,Animal,Amphibians,Frogs and Toads,Pseudacris triseriata,Western Chorus Frog,S2S3,G5
Erie,Plant,Flowering Plants,Other Flowering Plants,Viola bicolor,Field Pansy,S1,G5
Erie,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,S3,G5
Essex,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,S4,G5
Suffolk,Natural Community,Tidal Wetlands,Intertidal Wetlands,Brackish meadow,Brackish Meadow,S1S2,G2G3
Broome,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,S5,G5
Suffolk,Animal,Fish,Darters and Sunfishes,Enneacanthus obesus,Banded Sunfish,S1,G5
Chenango,Plant,Flowering Plants,Other Flowering Plants,Hydrangea arborescens,Wild Hydrangea,S2,G5
Albany,Animal,Butterflies and Moths,Moths,Hemileuca maia maia,Inland Barrens Buckmoth,S1S2,G5T5
Washington,Natural Community,Rivers and Streams,Natural Rivers and Streams,Rocky headwater stream,Rocky Headwater Stream,S4,G4
Steuben,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,S5,G5
Livingston,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,S2S3B,G3G4
Franklin,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,"S3B,SNRN",G5
Oswego,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus olor,Mute Swan,SNA,G5
Washington,Plant,Ferns and Fern Allies,Clubmosses,Pseudolycopodiella caroliniana,Carolina Clubmoss,S1,G5T4
Rockland,Animal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area,S3,GNR
Oswego,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,S5B,G5
St. Lawrence,Animal,Birds,Wood-Warblers,Setophaga discolor,Prairie Warbler,S5B,G5
Orange,Animal,Birds,Woodpeckers,Melanerpes carolinus,Red-bellied Woodpecker,S5,G5
Westchester,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Plegadis falcinellus,Glossy Ibis,S2,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Viola primulifolia var. primulifolia,Primrose-leaved Violet,S2,G5TNR
Niagara,Animal,Birds,Wood-Warblers,Vermivora chrysoptera,Golden-winged Warbler,S3B,G4
Franklin,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,S5,G5
Oneida,Animal,Birds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,S5,G5
Queens,Animal,Birds,"Rails, Coots and Cranes",Rallus crepitans,Clapper Rail,S2S3,G5
Wyoming,Animal,Birds,Sparrows and Towhees,Ammodramus savannarum,Grasshopper Sparrow,S3B,G5
Erie,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,SNA,GU
Onondaga,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,S5,G5
Franklin,Animal,Fish,Darters and Sunfishes,Ammocrypta pellucida,Eastern Sand Darter,S2S3,G4
Ulster,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Perched bog,Perched Bog,S1S2,G3G4
Tompkins,Animal,Birds,Wood-Warblers,Vermivora cyanoptera x chrysoptera,Brewster's Warbler,SNA,GNA
Greene,Animal,Amphibians,Salamanders,Eurycea longicauda,Longtail Salamander,S2S3,G5
Essex,Natural Community,Lakes and Ponds,Natural Lakes and Ponds,Mesotrophic dimictic lake,Mesotrophic Dimictic Lake,S3S4,G4
Delaware,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,S2S3B,G3G4
Dutchess,Plant,Mosses,Peat Mosses,Sphagnum carolinianum,Carolina peat moss,S1,G3
Nassau,Plant,Flowering Plants,Sedges,Carex venusta,Dark-green sedge,S1,G4
Montgomery,Animal,Birds,Crows and Jays,Corvus ossifragus,Fish Crow,S4,G5
Yates,Animal,Beetles,Lady Beetles,Coccinella trifasciata,Three-banded Lady Beetle,S2S3,GNR
Cortland,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,S5,G5
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Sisyrinchium mucronatum,Sharp-tipped Blue-eyed Grass,S1,G5
Onondaga,Plant,Flowering Plants,Sedges,Carex shortiana,Short's Sedge,S1,G5
Westchester,Animal,Dragonflies and Damselflies,Dragonflies,Libellula flavida,Yellow-sided Skimmer,S1,G5
Rockland,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,S5B,G5
Herkimer,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Bunting,S5B,G5
Tompkins,Plant,Flowering Plants,Other Flowering Plants,Veronicastrum virginicum,Culver's Root,S2,G4
Washington,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,"S3B,S3N",G5
Saratoga,Animal,Birds,Wood-Warblers,Geothlypis philadelphia,Mourning Warbler,S5B,G5
Ontario,Animal,Birds,Larks,Eremophila alpestris,Horned Lark,S3S4B,G5
Oneida,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrius vociferus,Killdeer,S5,G5
Genesee,Animal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,S5B,G5
Essex,Animal,Dragonflies and Damselflies,Dragonflies,Somatochlora franklini,Delicate Emerald,S1,G5
Orange,Plant,Flowering Plants,Other Flowering Plants,Physalis virginiana var. virginiana,Virginia Ground Cherry,SH,G5T5
Broome,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,S5,G5
Seneca,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,S5B,G5
Herkimer,Plant,Flowering Plants,Other Flowering Plants,Persicaria careyi,Carey's Smartweed,S1S2,G4
Genesee,Animal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchicus,Ring-necked Pheasant,SNA,G5
Sullivan,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Dwarf shrub bog,Dwarf Shrub Bog,S3,G4
Jefferson,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,S5B,G5
Lewis,Plant,Ferns and Fern Allies,Horsetails,Equisetum palustre,Marsh Horsetail,S2,G5
Wyoming,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,"S3S4B,S3N",G5
Yates,Plant,Flowering Plants,Other Flowering Plants,Pterospora andromedea,Pinedrops,S1,G5
Lewis,Natural Community,Freshwater Nontidal Wetlands,Open Mineral Soil Wetlands,Shrub swamp,Shrub Swamp,S5,G5
Kings,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Egretta thula,Snowy Egret,S2S3,G5
Kings,Animal,Reptiles,Turtles,Terrapene carolina,Eastern Box Turtle,S3,G5
Saratoga,Animal,Birds,Wood-Warblers,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler,SNA,GNA
Suffolk,Plant,Flowering Plants,Other Flowering Plants,Oenothera laciniata,Cut-leaved Evening Primrose,S1,G5
Saratoga,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,S5,G5
Livingston,Animal,Birds,Starlings,Sturnus vulgaris,European Starling,SNA,G5
Chautauqua,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Larus marinus,Great Black-backed Gull,S4,G5
Oswego,Animal,Birds,Wood-Warblers,Protonotaria citrea,Prothonotary Warbler,S2B,G5
Dutchess,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,S5,G5
Oneida,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,S2S3,G5
Seneca,Plant,Flowering Plants,Sedges,Carex buxbaumii,Brown Bog Sedge,S2,G5
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Chamaelirium luteum,Fairywand,S1S2,G5
Orange,Animal,Reptiles,Turtles,Clemmys guttata,Spotted Turtle,S3,G5
Yates,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,S3B,G5
Montgomery,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,S5,G5
Broome,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,S5B,G5
Niagara,Plant,Flowering Plants,Other Flowering Plants,Lysimachia quadriflora,Four-flowered Loosestrife,S1,G5?
Niagara,Plant,Flowering Plants,Other Flowering Plants,Asclepias verticillata,Whorled Milkweed,S3,G5
Erie,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,S1,G2G3
Otsego,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,"S3B,S1N",G5
Orange,Animal,Birds,Kingfishers,Megaceryle alcyon,Belted Kingfisher,S5,G5
Schuyler,Animal,Reptiles,Turtles,Glyptemys insculpta,Wood Turtle,S3,G3
Chenango,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,SNA,GNA
Seneca,Plant,Flowering Plants,Sedges,Scleria verticillata,Low Nut Sedge,S1,G5
Steuben,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,S5B,G5
Saratoga,Animal,Birds,"Ducks, Geese, Waterfowl",Cygnus olor,Mute Swan,SNA,G5
Cayuga,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,S5,G5
Saratoga,Animal,Birds,Vireos,Vireo gilvus,Warbling Vireo,S5B,G5
Chautauqua,Animal,Reptiles,Turtles,Apalone spinifera,Spiny Softshell,S2S3,G5
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Sharp-shinned Hawk,S4,G5
New York,Plant,Flowering Plants,Other Flowering Plants,Agalinis maritima var. maritima,Seaside Gerardia,S2S3,G5T5
Columbia,Plant,Flowering Plants,Other Flowering Plants,Viburnum dentatum var. venosum,Southern Arrowwood,S2,G5T4T5
Oneida,Animal,Birds,"Rails, Coots and Cranes",Fulica americana,American Coot,S3,G5
Yates,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,S5,G5
Nassau,Plant,Flowering Plants,Other Flowering Plants,Ranunculus pusillus,Spearwort,SX,G5
Richmond,Plant,Flowering Plants,Other Flowering Plants,Stachys hyssopifolia var. hyssopifolia,Rough Hedge Nettle,S2,G5T4T5
Suffolk,Animal,Butterflies and Moths,Moths,Papaipema duovata,Seaside Golden Borer Moth,S1,G4
Lewis,Natural Community,Freshwater Nontidal Wetlands,Open Peatlands,Rich shrub fen,Rich Shrub Fen,S1S2,G3G4
Franklin,Animal,Mussels and Clams,Freshwater Mussels,Lampsilis ovata,Pocketbook,S2S3,G5
Cattaraugus,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,S5B,G5
Madison,Animal,Birds,Wood-Warblers,Setophaga americana,Northern Parula,S3S4B,G5
Sullivan,Animal,Dragonflies and Damselflies,Dragonflies,Gomphus vastus,Cobra Clubtail,S1,G5
Putnam,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,"S3B,S1N",G5
Oneida,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Arnoglossum atriplicifolium,Pale Indian-plantain,SH,G4G5
Schoharie,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparverius,American Kestrel,S5B,G5
Washington,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Hydroprogne caspia,Caspian Tern,S1,G5
Clinton,Animal,Birds,Wood-Warblers,Cardellina canadensis,Canada Warbler,S5B,G5
Niagara,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,S2S3,G5
Oneida,Animal,Birds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,S5B,G5
Warren,Animal,Amphibians,Frogs and Toads,Lithobates septentrionalis,Mink Frog,S5,G5
Putnam,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,S5B,G5
Westchester,Plant,Flowering Plants,Other Flowering Plants,Polygala lutea,Orange Milkwort,S1,G5
Dutchess,Plant,Flowering Plants,Other Flowering Plants,Limosella australis,Mudwort,S3,G4G5
Warren,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,S1S2,G5
Saratoga,Animal,Birds,Larks,Eremophila alpestris,Horned Lark,S3S4B,G5
Warren,Natural Community,Uplands,Forested Uplands,Hemlock-northern hardwood forest,Hemlock-Northern Hardwood Forest,S4,G4G5
Cayuga,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,S5,G5
Cortland,Animal,Birds,Kinglets,Regulus satrapa,Golden-crowned Kinglet,S5B,G5
Wyoming,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,S5B,G5
Otsego,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,S5,G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Limosella australis,Mudwort,S3,G4G5
Westchester,Plant,Flowering Plants,Sedges,Carex nigromarginata,Black-edge Sedge,S2,G5
Suffolk,Plant,Flowering Plants,Rushes,Juncus ranarius,Seaside Toad Rush,S1,G5
Ulster,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,S3,G5T5
Genesee,Animal,Birds,Wood-Warblers,Oreothlypis ruficapilla,Nashville Warbler,S5B,G5
Franklin,Animal,Birds,Swallows,Stelgidopteryx serripennis,Northern Rough-winged Swallow,S5B,G5
St. Lawrence,Plant,Flowering Plants,Other Flowering Plants,Callitriche hermaphroditica,Autumnal Water-starwort,S1,G5
Monroe,Animal,Fish,Sculpins,Cottus ricei,Spoonhead Sculpin,SH,G5
Broome,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,S5,G5
Dutchess,Animal,Birds,Pigeons and Doves,Zenaida macroura,Mourning Dove,S5,G5
Putnam,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper,S5B,G5
Queens,Animal,Birds,Flycatchers,Empidonax virescens,Acadian Flycatcher,S3B,G5
Franklin,Animal,Birds,Flycatchers,Tyrannus tyrannus,Eastern Kingbird,S5B,G5
Westchester,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,S2S3B,G3G4
Albany,Animal,Birds,"Rails, Coots and Cranes",Porzana carolina,Sora,S4,G5
Tompkins,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,"S3B,SNRN",G5
Schoharie,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,S5,G5
Schoharie,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,S5B,G5
Sullivan,Animal,Birds,"Rails, Coots and Cranes",Gallinula galeata,Common Moorhen,S3S4,G5
Hamilton,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,S4B,G5
Clinton,Plant,Flowering Plants,Other Flowering Plants,Lysimachia hybrida,Lowland Yellow Loosestrife,S1,G5
Dutchess,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,S2,G4
Dutchess,Animal,Birds,Thrushes and Bluebirds,Hylocichla mustelina,Wood Thrush,S5B,G4
Lewis,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,"S3S4B,S3N",G5
Queens,Plant,Flowering Plants,Other Flowering Plants,Chenopodium berlandieri var. macrocalycium,Large Calyx Goosefoot,S1S2,G5T4
Suffolk,Animal,Dragonflies and Damselflies,Damselflies,Nehalennia integricollis,Southern Sprite,S1,G5
Erie,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,S2S3,G5
Westchester,Animal,Birds,Parrots and Parakeets,Myiopsitta monachus,Monk Parakeet,SNA,G5
Oswego,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,S3,G5
Otsego,Plant,Flowering Plants,Orchids,Cypripedium reginae,Showy Lady's Slipper,S3,G4G5
Broome,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose,S5,G5
Wayne,Plant,Flowering Plants,Other Flowering Plants,Alisma gramineum,Grass-leaved Water Plantain,S3S4,G5
Genesee,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,S5,G5
Bronx,Plant,Ferns and Fern Allies,Ferns,Athyrium asplenioides,Southern Lady Fern,S2,G5T5
Franklin,Animal,Birds,Nightbirds,Chordeiles minor,Common Nighthawk,S2S3B,G5
Ulster,Plant,Flowering Plants,Orchids,Triphora trianthophoros ssp. trianthophoros,Nodding Pogonia,S2,G3G4T3T4
Nassau,Plant,Flowering Plants,Sedges,Carex mitchelliana,Mitchell's Sedge,S1S2,G4
Oswego,Animal,Birds,Finches and Crossbills,Coccothraustes vespertinus,Evening Grosbeak,S5,G5
Oswego,Plant,Flowering Plants,Sedges,Eleocharis diandra,Wright's Spike Rush,S1,G2
